,stature,weightkg,t_shirt_size
1026,1811,773,3
1027,1639,734,4
1028,1635,549,2
1029,1751,802,4
1030,1626,695,3
1031,1688,647,3
1032,1588,657,3
1033,1635,871,4
1034,1624,580,2
1035,1634,796,3
1036,1749,761,3
1037,1646,576,3
1038,1600,870,4
1039,1600,766,4
1040,1517,548,2
1041,1659,826,4
1042,1718,651,3
1043,1533,570,3
1044,1592,719,4
1045,1636,726,3
1046,1648,716,3
1047,1669,832,4
1048,1655,604,3
1049,1770,764,3
1050,1752,934,4
1051,1741,573,2
1052,1608,582,2
1053,1636,553,2
1054,1555,698,3
1055,1573,640,3
1056,1623,590,2
1057,1534,604,2
1058,1543,666,3
1059,1744,670,3
1060,1623,633,2
1061,1587,618,3
1062,1563,645,3
1063,1655,582,2
1064,1612,796,4
1065,1636,609,2
1066,1709,823,3
1067,1547,567,2
1068,1657,510,2
1069,1695,601,2
1070,1720,716,3
1071,1587,681,3
1072,1676,940,5
1073,1726,686,3
1074,1616,671,3
1075,1747,689,3
1076,1705,786,4
1077,1685,704,2
1078,1594,504,1
1079,1687,598,2
1080,1700,760,3
1081,1658,780,4
1082,1562,712,3
1083,1658,665,3
1084,1688,735,3
1085,1524,544,2
1086,1611,678,3
1087,1627,648,3
1088,1614,663,3
1089,1598,779,3
1090,1643,702,3
1091,1611,592,2
1092,1520,563,2
1093,1697,927,4
1094,1640,801,3
1095,1672,772,3
1096,1662,704,3
1097,1601,590,2
1098,1580,640,3
1099,1676,842,3
1100,1536,546,2
1101,1561,715,3
1102,1475,575,2
1103,1532,522,1
1104,1646,725,3
1105,1657,517,2
1106,1648,631,2
1107,1586,537,2
1108,1609,597,2
1109,1562,607,3
1110,1507,577,2
1111,1468,499,2
1112,1636,687,3
1113,1585,680,3
1114,1607,632,3
1115,1657,776,3
1116,1606,638,3
1117,1705,783,3
1118,1605,602,2
1119,1666,771,3
1120,1635,617,2
1121,1498,462,2
1122,1619,591,2
1123,1559,574,2
1124,1639,621,2
1125,1574,618,3
1126,1530,518,2
1127,1552,631,2
1128,1572,653,3
1129,1670,646,2
1130,1574,569,1
1131,1636,661,3
1132,1575,598,3
1133,1676,533,2
1134,1705,755,4
1135,1603,702,3
1136,1593,655,3
1137,1611,644,2
1138,1673,680,3
1139,1689,715,2
1140,1529,499,2
1141,1602,523,2
1142,1764,740,4
1143,1648,750,3
1144,1587,604,3
1145,1492,430,1
1146,1567,750,4
1147,1563,716,3
1148,1663,723,3
1149,1617,765,3
1150,1683,660,2
1151,1636,600,2
1152,1628,695,3
1153,1536,637,3
1154,1530,602,3
1155,1678,815,3
1156,1682,773,3
1157,1585,537,2
1158,1588,672,2
1159,1718,698,2
1160,1655,809,4
1161,1705,722,2
1162,1608,630,3
1163,1607,654,2
1164,1490,484,2
1165,1563,653,3
1166,1677,669,2
1167,1615,668,3
1168,1570,672,2
1169,1563,597,2
1170,1627,658,3
1171,1743,657,2
1172,1635,681,3
1173,1699,894,4
1174,1503,643,2
1175,1637,857,4
1176,1544,560,2
1177,1493,613,2
1178,1645,662,3
1179,1707,719,3
1180,1611,586,2
1181,1543,576,2
1182,1604,560,2
1183,1588,616,2
1184,1543,533,2
1185,1630,678,3
1186,1674,776,3
1187,1560,658,3
1188,1620,666,3
1189,1613,549,2
1190,1541,539,2
1191,1595,814,4
1192,1600,611,3
1193,1690,777,3
1194,1612,725,3
1195,1559,664,3
1196,1678,806,4
1197,1608,522,2
1198,1559,478,1
1199,1683,845,4
1200,1586,685,3
1201,1646,646,3
1202,1656,679,2
1203,1515,509,2
1204,1754,745,3
1205,1699,670,3
1206,1573,573,3
1207,1657,597,2
1208,1655,665,3
1209,1502,505,2
1210,1653,749,3
1211,1633,756,3
1212,1585,634,3
1213,1632,768,3
1214,1616,804,3
1215,1670,762,3
1216,1632,526,2
1217,1648,653,2
1218,1576,726,4
1219,1606,557,2
1220,1652,599,2
1221,1625,759,3
1222,1598,607,3
1223,1618,669,4
1224,1674,697,3
1225,1563,614,3
1226,1728,742,3
1227,1590,671,3
1228,1636,577,2
1229,1655,803,3
1230,1707,634,3
1231,1676,681,2
1232,1633,734,3
1233,1607,672,3
1234,1618,662,3
1235,1708,703,2
1236,1735,709,2
1237,1715,586,2
1238,1570,493,3
1239,1642,733,3
1240,1788,996,5
1241,1600,648,3
1242,1675,729,3
1243,1634,902,5
1244,1576,754,4
1245,1599,654,2
1246,1598,708,2
1247,1548,647,3
1248,1607,631,2
1249,1686,666,2
1250,1640,667,2
1251,1563,497,2
1252,1591,558,2
1253,1678,921,4
1254,1670,695,3
1255,1529,563,3
1256,1616,603,2
1257,1620,647,3
1258,1510,642,3
1259,1626,701,3
1260,1600,583,2
1261,1679,843,4
1262,1600,696,4
1263,1618,735,4
1264,1629,470,2
1265,1651,608,2
1266,1596,515,2
1267,1654,717,3
1268,1776,889,4
1269,1546,532,2
1270,1676,747,3
1271,1585,622,3
1272,1594,574,2
1273,1629,565,2
1274,1581,646,3
1275,1614,529,2
1276,1559,648,3
1277,1697,751,3
1278,1674,740,3
1279,1692,758,4
1280,1615,554,2
1281,1762,852,4
1282,1573,814,4
1283,1674,824,4
1284,1531,503,2
1285,1505,607,3
1286,1700,692,3
1287,1539,640,3
1288,1620,650,2
1289,1712,580,2
1290,1554,601,3
1291,1598,601,2
1292,1612,664,3
1293,1707,703,2
1294,1611,616,3
1295,1599,654,3
1296,1569,589,2
1297,1663,524,2
1298,1666,706,3
1299,1659,676,2
1300,1543,623,3
1301,1571,628,3
1302,1618,503,1
1303,1610,599,2
1304,1512,508,1
1305,1555,520,2
1306,1729,831,4
1307,1593,622,3
1308,1609,706,3
1309,1648,667,3
1310,1631,730,3
1311,1712,842,4
1312,1541,549,2
1313,1663,609,2
1314,1614,670,3
1315,1598,711,3
1316,1617,655,3
1317,1658,771,3
1318,1642,668,3
1319,1698,707,3
1320,1648,757,4
1321,1756,857,3
1322,1651,678,3
1323,1634,630,2
1324,1709,745,2
1325,1686,564,2
1326,1645,721,3
1327,1565,646,3
1328,1537,444,1
1329,1511,591,2
1330,1649,696,3
1331,1458,445,1
1332,1759,726,2
1333,1558,707,3
1334,1688,643,3
1335,1581,654,2
1336,1583,626,3
1337,1643,736,3
1338,1752,853,4
1339,1600,750,3
1340,1618,797,4
1341,1710,837,4
1342,1585,590,2
1343,1595,512,2
1344,1614,621,3
1345,1663,810,4
1346,1617,614,3
1347,1596,544,2
1348,1602,603,2
1349,1694,792,3
1350,1510,618,3
1351,1534,603,3
1352,1634,885,4
1353,1679,842,4
1354,1618,798,3
1355,1658,634,3
1356,1643,561,2
1357,1652,774,3
1358,1615,730,3
1359,1674,850,3
1360,1527,643,3
1361,1518,505,2
1362,1653,729,2
1363,1659,835,4
1364,1570,463,1
1365,1570,802,5
1366,1653,951,5
1367,1712,582,2
1368,1519,703,3
1369,1702,1019,5
1370,1627,645,2
1371,1516,721,4
1372,1583,661,4
1373,1647,589,2
1374,1594,528,2
1375,1617,623,2
1376,1674,896,5
1377,1605,833,4
1378,1649,916,4
1379,1603,677,2
1380,1620,535,2
1381,1584,712,4
1382,1579,527,2
1383,1608,721,4
1384,1656,589,3
1385,1639,731,3
1386,1630,620,2
1387,1615,695,4
1388,1584,620,3
1389,1664,669,3
1390,1545,543,2
1391,1688,648,3
1392,1673,625,2
1393,1647,643,2
1394,1637,736,3
1395,1787,824,4
1396,1503,701,3
1397,1562,699,4
1398,1558,754,3
1399,1576,647,3
1400,1628,666,3
1401,1748,831,4
1402,1572,632,3
1403,1743,746,3
1404,1561,589,3
1405,1623,643,3
1406,1649,705,3
1407,1661,760,4
1408,1668,680,3
1409,1722,695,3
1410,1674,868,4
1411,1663,653,2
1412,1543,804,3
1413,1561,673,3
1414,1587,516,1
1415,1495,526,3
1416,1645,914,5
1417,1653,919,4
1418,1685,757,4
1419,1569,717,4
1420,1656,738,3
1421,1672,769,3
1422,1622,692,3
1423,1664,609,2
1424,1636,596,2
1425,1666,740,4
1426,1558,804,4
1427,1674,934,4
1428,1534,568,3
1429,1630,626,3
1430,1671,738,3
1431,1789,808,3
1432,1553,624,2
1433,1673,775,3
1434,1598,631,2
1435,1798,875,3
1436,1641,650,2
1437,1718,650,2
1438,1568,638,3
1439,1652,642,3
1440,1676,698,3
1441,1595,831,4
1442,1697,962,4
1443,1703,930,5
1444,1567,489,2
1445,1554,536,2
1446,1645,629,3
1447,1625,510,2
1448,1560,654,3
1449,1501,588,3
1450,1617,650,3
1451,1660,679,2
1452,1635,719,4
1453,1621,920,4
1454,1596,618,2
1455,1649,712,3
1456,1590,643,3
1457,1630,793,3
1458,1505,575,3
1459,1590,686,3
1460,1613,688,3
1461,1620,778,3
1462,1687,765,4
1463,1613,590,2
1464,1648,626,3
1465,1820,908,3
1466,1613,500,2
1467,1719,688,3
1468,1543,567,3
1469,1674,622,2
1470,1662,707,3
1471,1612,685,3
1472,1605,571,2
1473,1560,846,4
1474,1664,618,2
1475,1662,672,3
1476,1620,692,3
1477,1567,469,1
1478,1689,674,2
1479,1576,529,2
1480,1596,644,3
1481,1684,819,4
1482,1702,683,2
1483,1745,582,2
1484,1599,532,2
1485,1628,703,3
1486,1651,807,4
1487,1592,569,2
1488,1587,504,2
1489,1628,743,3
1490,1627,648,3
1491,1617,652,3
1492,1582,548,2
1493,1537,561,2
1494,1629,663,2
1495,1640,577,2
1496,1675,790,3
1497,1592,671,3
1498,1633,691,3
1499,1733,773,3
1500,1610,622,2
1501,1566,620,3
1502,1639,691,3
1503,1580,626,3
1504,1557,587,2
1505,1683,694,3
1506,1597,647,3
1507,1598,621,3
1508,1613,698,3
1509,1649,656,2
1510,1672,602,2
1511,1713,743,2
1512,1641,744,4
1513,1612,633,3
1514,1596,621,2
1515,1442,467,2
1516,1555,639,3
1517,1497,579,3
1518,1612,708,3
1519,1690,698,2
1520,1634,654,3
1521,1509,542,2
1522,1582,593,2
1523,1465,497,2
1524,1545,526,2
1525,1475,480,2
1526,1633,557,3
1527,1631,724,3
1528,1626,661,3
1529,1533,794,4
1530,1553,572,2
1531,1752,785,3
1532,1618,676,3
1533,1634,530,2
1534,1689,777,3
1535,1534,524,2
1536,1629,601,2
1537,1628,559,2
1538,1603,530,2
1539,1547,578,2
1540,1585,644,3
1541,1638,693,3
1542,1754,849,4
1543,1623,607,2
1544,1614,623,2
1545,1676,601,2
1546,1560,516,2
1547,1637,505,2
1548,1542,532,2
1549,1536,566,2
1550,1613,732,3
1551,1595,576,2
1552,1659,807,3
1553,1564,622,2
1554,1686,726,3
1555,1678,711,3
1556,1573,572,3
1557,1589,623,2
1558,1621,602,2
1559,1679,805,4
1560,1598,561,2
1561,1713,520,1
1562,1550,578,2
1563,1583,580,2
1564,1540,612,2
1565,1541,585,3
1566,1622,875,4
1567,1793,773,3
1568,1713,755,3
1569,1603,678,4
1570,1711,888,4
1571,1641,665,3
1572,1494,580,4
1573,1672,665,3
1574,1616,649,3
1575,1585,673,3
1576,1612,744,4
1577,1663,576,2
1578,1656,735,3
1579,1598,636,3
1580,1545,432,1
1581,1634,747,4
1582,1704,669,3
1583,1664,826,4
1584,1522,578,3
1585,1646,637,2
1586,1557,758,3
1587,1625,594,3
1588,1671,872,5
1589,1535,693,3
1590,1591,500,2
1591,1567,567,2
1592,1540,589,2
1593,1573,640,3
1594,1637,683,3
1595,1604,566,2
1596,1740,632,2
1597,1563,591,2
1598,1773,760,2
1599,1672,664,3
1600,1564,658,3
1601,1600,710,3
1602,1586,551,2
1603,1566,593,2
1604,1683,661,3
1605,1613,658,2
1606,1572,634,3
1607,1584,480,2
1608,1706,660,2
1609,1620,601,2
1610,1640,546,2
1611,1711,1166,6
1612,1641,793,4
1613,1567,454,1
1614,1629,499,2
1615,1479,358,1
1616,1663,700,3
1617,1749,770,3
1618,1592,649,3
1619,1591,550,2
1620,1710,875,4
1621,1684,768,3
1622,1625,763,3
1623,1666,650,3
1624,1576,555,2
1625,1685,755,4
1626,1629,548,2
1627,1637,705,3
1628,1597,548,2
1629,1676,763,3
1630,1672,784,3
1631,1707,698,3
1632,1649,650,2
1633,1615,794,3
1634,1629,897,5
1635,1615,525,2
1636,1537,772,3
1637,1663,657,2
1638,1582,537,2
1639,1499,667,3
1640,1771,833,3
1641,1545,599,3
1642,1603,649,3
1643,1580,788,4
1644,1608,752,4
1645,1561,643,3
1646,1642,613,2
1647,1600,847,3
1648,1591,687,3
1649,1697,697,3
1650,1691,602,2
1651,1563,631,3
1652,1598,952,5
1653,1631,513,1
1654,1648,694,3
1655,1496,509,2
1656,1522,520,2
1657,1769,889,4
1658,1761,785,2
1659,1618,678,3
1660,1612,644,3
1661,1653,657,3
1662,1598,661,3
1663,1770,925,4
1664,1566,611,3
1665,1668,611,3
1666,1614,797,3
1667,1673,682,3
1668,1588,489,2
1669,1534,669,4
1670,1490,617,2
1671,1611,706,3
1672,1599,611,2
1673,1645,662,3
1674,1571,532,2
1675,1657,616,3
1676,1641,737,3
1677,1710,657,3
1678,1674,671,3
1679,1561,831,5
1680,1664,866,4
1681,1743,1054,4
1682,1681,920,4
1683,1498,617,3
1684,1595,772,3
1685,1771,777,4
1686,1585,802,4
1687,1819,953,4
1688,1683,870,4
1689,1686,730,3
1690,1703,877,4
1691,1707,823,3
1692,1678,831,5
1693,1646,599,2
1694,1676,725,3
1695,1703,630,2
1696,1609,623,3
1697,1636,821,4
1698,1625,624,3
1699,1615,567,2
1700,1603,675,4
1701,1641,623,2
1702,1697,644,2
1703,1571,626,3
1704,1548,713,3
1705,1633,630,2
1706,1667,820,4
1707,1584,762,4
1708,1642,697,3
1709,1736,910,4
1710,1671,801,3
1711,1595,683,2
1712,1716,769,3
1713,1574,601,2
1714,1610,821,4
1715,1643,842,3
1716,1697,791,3
1717,1501,575,3
1718,1632,568,2
1719,1654,720,3
1720,1571,521,1
1721,1596,689,4
1722,1589,652,2
1723,1650,827,4
1724,1611,662,3
1725,1632,715,4
1726,1729,973,5
1727,1533,450,1
1728,1611,504,2
1729,1650,577,2
1730,1473,562,3
1731,1700,728,3
1732,1692,722,3
1733,1611,560,2
1734,1734,824,3
1735,1692,825,4
1736,1647,995,4
1737,1599,988,5
1738,1614,815,4
1739,1549,723,3
1740,1634,736,3
1741,1760,698,3
1742,1683,766,3
1743,1618,651,2
1744,1565,518,2
1745,1592,549,2
1746,1636,576,2
1747,1538,583,2
1748,1648,670,2
1749,1645,631,3
1750,1623,627,3
1751,1611,676,3
1752,1602,534,2
1753,1670,748,3
1754,1643,644,2
1755,1628,677,3
1756,1575,620,2
1757,1613,536,2
1758,1598,599,2
1759,1610,644,3
1760,1597,536,2
1761,1590,882,4
1762,1688,646,3
1763,1502,662,3
1764,1593,698,2
1765,1607,677,4
1766,1625,586,2
1767,1525,526,2
1768,1563,564,2
1769,1734,765,3
1770,1734,871,3
1771,1728,682,2
1772,1661,629,3
1773,1703,568,2
1774,1702,680,3
1775,1772,669,2
1776,1626,712,3
1777,1661,781,3
1778,1549,675,3
1779,1634,663,3
1780,1661,793,3
1781,1564,604,3
1782,1664,732,4
1783,1553,712,4
1784,1700,722,3
1785,1542,610,3
1786,1743,817,4
1787,1623,799,3
1788,1590,602,2
1789,1604,584,2
1790,1627,601,2
1791,1718,834,3
1792,1705,973,5
1793,1561,557,2
1794,1661,553,2
1795,1620,526,2
1796,1660,614,2
1797,1697,894,4
1798,1699,893,4
1799,1740,702,2
1800,1701,738,3
1801,1707,601,2
1802,1560,782,4
1803,1483,442,1
1804,1587,476,1
1805,1579,642,3
1806,1659,737,3
1807,1684,776,3
1808,1593,620,2
1809,1589,646,3
1810,1683,697,3
1811,1704,724,3
1812,1736,697,3
1813,1633,620,3
1814,1724,884,3
1815,1487,712,4
1816,1560,684,3
1817,1561,623,3
1818,1618,614,3
1819,1604,551,3
1820,1658,1121,5
1821,1658,749,3
1822,1591,709,3
1823,1638,588,2
1824,1751,876,4
1825,1587,597,2
1826,1540,680,4
1827,1576,707,3
1828,1737,686,2
1829,1573,624,2
1830,1622,610,2
1831,1588,582,2
1832,1548,489,2
1833,1662,696,3
1834,1718,795,3
1835,1519,600,2
1836,1573,640,3
1837,1566,712,3
1838,1529,475,2
1839,1585,735,2
1840,1611,546,2
1841,1610,562,3
1842,1541,582,3
1843,1766,812,3
1844,1626,518,2
1845,1644,523,2
1846,1679,756,3
1847,1743,674,2
1848,1658,552,2
1849,1610,690,4
1850,1675,636,3
1851,1637,641,3
1852,1628,701,3
1853,1645,793,4
1854,1595,660,3
1855,1731,931,4
1856,1567,661,3
1857,1628,510,1
1858,1688,686,3
1859,1706,839,4
1860,1543,652,3
1861,1665,920,4
1862,1690,667,2
1863,1471,464,2
1864,1616,627,3
1865,1753,593,2
1866,1626,508,1
1867,1698,727,3
1868,1545,583,3
1869,1759,669,3
1870,1732,842,4
1871,1587,601,2
1872,1605,609,2
1873,1530,687,3
1874,1598,549,2
1875,1524,452,2
1876,1683,835,4
1877,1577,641,2
1878,1583,588,2
1879,1582,563,2
1880,1569,702,3
1881,1651,779,3
1882,1463,626,3
1883,1659,992,5
1884,1596,626,2
1885,1600,713,4
1886,1557,528,2
1887,1565,552,2
1888,1525,622,3
1889,1613,612,3
1890,1674,529,2
1891,1614,748,3
1892,1558,582,2
1893,1774,790,3
1894,1633,618,3
1895,1611,716,4
1896,1768,692,3
1897,1578,635,3
1898,1619,704,3
1899,1681,668,3
1900,1613,535,2
1901,1575,615,3
1902,1648,751,3
1903,1590,546,2
1904,1609,695,3
1905,1625,773,3
1906,1676,751,3
1907,1623,700,4
1908,1612,502,2
1909,1720,717,3
1910,1567,644,3
1911,1770,1072,5
1912,1668,940,5
1913,1588,764,3
1914,1616,897,5
1915,1593,777,4
1916,1572,497,2
1917,1674,662,3
1918,1652,696,4
1919,1664,844,4
1920,1691,647,3
1921,1657,780,3
1922,1704,773,3
1923,1654,734,3
1924,1578,695,3
1925,1645,707,4
1926,1631,936,5
1927,1561,857,5
1928,1516,573,2
1929,1749,676,3
1930,1715,855,3
1931,1600,549,3
1932,1683,588,2
1933,1557,715,4
1934,1548,580,3
1935,1714,697,3
1936,1649,685,3
1937,1528,586,2
1938,1596,842,4
1939,1658,909,4
1940,1701,1047,5
1941,1683,663,2
1942,1634,766,5
1943,1695,715,3
1944,1548,591,2
1945,1587,665,3
1946,1549,676,4
1947,1606,792,4
1948,1508,652,3
1949,1733,753,3
1950,1560,517,2
1951,1739,865,4
1952,1629,732,3
1953,1609,741,3
1954,1740,906,4
1955,1678,845,3
1956,1545,631,3
1957,1809,898,4
1958,1764,970,4
1959,1606,663,3
1960,1567,594,3
1961,1594,657,4
1962,1587,786,4
1963,1573,520,2
1964,1624,641,2
1965,1635,798,4
1966,1580,740,3
1967,1691,641,3
1968,1656,803,4
1969,1615,714,4
1970,1749,924,3
1971,1561,668,4
1972,1674,678,3
1973,1721,577,2
1974,1704,687,3
1975,1636,758,4
1976,1583,652,4
1977,1604,699,3
1978,1533,474,2
1979,1594,558,3
1980,1719,768,3
1981,1687,832,4
1982,1613,717,3
1983,1644,762,4
1984,1616,632,3
1985,1641,610,3
